8	98	13
8	87	11
8	74	10
8	102	13
8	88	11
8	65	9
8	98	13
8	81	11
8	74	10
8	83	11
8	88	11
8	92	12
8	75	10
8	85	11
8	79	10
8	81	11
8	92	12
8	75	10
8	93	12
8	85	11
8	81	11
8	79	10
8	83	11
8	99	13
8	74	10
8	89	12
8	78	10
8	87	11
8	73	10
8	73	10
8	82	11
8	73	10
8	93	12
8	73	10
8	79	10
8	98	13
8	86	11
8	67	9
8	93	12
8	78	10
8	74	10
8	88	11
8	67	9
8	81	11
8	81	11
8	94	12
8	84	11
8	76	10
8	96	12
8	88	11
8	85	11
8	65	9
8	85	11
8	74	10
8	80	10
8	77	10
8	82	11
8	74	10
8	68	9
8	71	9
8	75	10
8	73	10
8	78	10
8	83	11
8	74	10
8	80	10
8	81	11
8	84	11
8	62	8
8	84	11
8	85	11
8	73	10
8	87	11
8	85	11
8	87	11
8	87	11
8	89	12
8	77	10
8	87	11
8	79	10
8	89	12
8	87	11
8	78	10
8	92	12
8	86	11
8	100	13
8	61	8
8	102	13
8	82	11
8	90	12
8	84	11
8	73	10
8	77	10
8	70	9
8	72	9
8	89	12
8	78	10
8	89	12
8	88	11
8	78	10
8	67	9
8	85	11
8	78	10
8	90	12
8	85	11
8	92	12
8	79	10
8	81	11
8	77	10
8	86	11
8	89	12
8	75	10
8	77	10
8	87	11
8	93	12
8	87	11
8	74	10
8	79	10
8	93	12
8	70	9
8	81	11
8	75	10
8	89	12
8	69	9
8	92	12
8	73	10
8	90	12
8	78	10
8	89	12
8	87	11
8	77	10
8	78	10
8	85	11
8	85	11
8	73	10
8	75	10
8	81	11
8	87	11
8	84	11
8	74	10
8	85	11
8	74	10
8	78	10
8	90	12
8	79	10
8	98	13
8	77	10
8	84	11
8	88	11
8	68	9
8	85	11
8	92	12
8	81	11
8	89	12
8	75	10
8	88	11
8	81	11
8	82	11
8	98	13
8	84	11
8	81	11
8	78	10
8	81	11
8	87	11
8	89	12
8	65	9
8	78	10
8	81	11
8	76	10
8	75	10
8	77	10
8	79	10
8	91	12
8	73	10
8	91	12
8	92	12
8	81	11
8	81	11
8	72	9
8	74	10
8	70	9
8	76	10
8	76	10
8	93	12
8	74	10
8	86	11
8	86	11
8	84	11
8	84	11
8	74	10
8	82	11
8	81	11
8	83	11
8	90	12
8	88	11
8	85	11
8	81	11
8	90	12
8	75	10
8	74	10
8	85	11
8	78	10
8	83	11
8	91	12
8	95	12
8	79	10
8	87	11
8	93	12
8	86	11
8	88	11
8	87	11
8	96	12
8	85	11
8	92	12
8	80	10
8	84	11
8	88	11
8	74	10
8	85	11
8	78	10
8	81	11
